Queries,Src,Event time,Event Type,,,Subtype,Topic,,,,,,,
patrick kennedy,AOL_impl,20060504,2: Recency event (b/w 01/05/2006 - 31/05/2006),Non-recurrent,Unplanned,1: Breaking,5: Celebrity,,,,,,,
patrick kennedy,MSN_impl,20060504,2: Recency event (b/w 01/05/2006 - 31/05/2006),Non-recurrent,Unplanned,1: Breaking,5: Celebrity,,,,,,,
paul gleason,MSN_impl,20060527,2: Recency event (b/w 01/05/2006 - 31/05/2006),Non-recurrent,Unplanned,1: Breaking,8: Deaths,,,,,,,
paul walker interviews 2006,AOL_expl,20060225,1: Past event (before 01/03/2006),Non-recurrent,Unplanned,1: Breaking,5: Celebrity,past event,http://www.filmthreat.com/blogs/30991/,,,,,
pentagon bombing sept 11,AOL_expl,20010911,1: Past event (before 01/03/2006),Non-recurrent,Unplanned,5: Commemorative,2: Fact,,,,,,,
pga,AOL_impl,20060301-20060531,2: Recency event (b/w 01/05/2006 - 31/05/2006),Recurrent,1-month,2: Ongoing,6: Sports,,,,,,,
pga tour,AOL_impl,20060301-20060531,2: Recency event (b/w 01/05/2006 - 31/05/2006),Recurrent,1-month,2: Ongoing,6: Sports,,,,,,,
pirates of the caribbean,AOL_impl,20060624,2: Recency event (b/w 01/05/2006 - 31/05/2006),Non-recurrent,Planned,2: Ongoing,3: Entertainment,,,,,,,
pirates of the carribean,AOL_impl,20060624,2: Recency event (b/w 01/05/2006 - 31/05/2006),Non-recurrent,Planned,2: Ongoing,3: Entertainment,,,,,,,
playstation 3,AOL_impl,20060906,3: Future event (after 31/05/2006),Non-recurrent,Planned,3: Anticipated,3: Entertainment,,,,,,,
playstation 3,MSN_impl,20060906,3: Future event (after 31/05/2006),Non-recurrent,Planned,3: Anticipated,3: Entertainment,,,,,,,
poison milk,MSN_impl,20060514,2: Recency event (b/w 01/05/2006 - 31/05/2006),Non-recurrent,Unplanned,1: Breaking,1: News,http://www.websleuths.com/forums/showthread.php?t=39452,,,,,,
preakness 2006,MSN_expl,20060520,2: Recency event (b/w 01/05/2006 - 31/05/2006),Recurrent,1-year,2: Ongoing,6: Sports,,,,,,,
prom dresses 2006,MSN_expl,20061004,2: Recency event (b/w 01/05/2006 - 31/05/2006),Recurrent,1-year,4: Meme,2: Fact,,,,,,,
propuesta migratoria 27 de marzo 2006,AOL_expl,20060327,2: Recency event (b/w 01/03/2006 - 31/05/2006),Non-recurrent,Unplanned,1: Breaking,1: News,,,,,,,
ps3,AOL_impl,20060906,3: Future event (after 31/05/2006),Non-recurrent,Planned,3: Anticipated,3: Entertainment,,,,,,,
ps3,MSN_impl,20060906,3: Future event (after 31/05/2006),Non-recurrent,Planned,3: Anticipated,3: Entertainment,,,,,,,
ps3 news,MSN_impl,20060906,3: Future event (after 31/05/2006),Non-recurrent,Planned,3: Anticipated,3: Entertainment,,,,,,,
puerto rican flag,AOL_impl,20060425,2: Recency event (b/w 01/05/2006 - 31/05/2006),Recurrent,1-year,2: Ongoing,1: News,,,,,,,
puerto rican flags,AOL_impl,20060425,2: Recency event (b/w 01/05/2006 - 31/05/2006),Recurrent,1-year,2: Ongoing,1: News,,,,,,,
puerto rican recipes,AOL_impl,20060611,2: Recency event (b/w 01/05/2006 - 31/05/2006),Recurrent,1-year,3: Anticipated,7: Holiday,,,,,,,
puerto rican recipes new latino,AOL_impl,20060611,2: Recency event (b/w 01/05/2006 - 31/05/2006),Recurrent,1-year,3: Anticipated,7: Holiday,,,,,,,
raleigh relays 2006,AOL_expl,20060325,2: Recency event (b/w 01/03/2006 - 31/05/2006),Recurrent,1-year,2: Ongoing,6: Sports,,,,,,,
resident evil,AOL_impl,20060312,2: Recency event (b/w 01/05/2006 - 31/05/2006),Non-recurrent,Planned,2: Ongoing,3: Entertainment,,,,,,,
resident evil 4,AOL_impl,20060312,2: Recency event (b/w 01/05/2006 - 31/05/2006),Non-recurrent,Planned,2: Ongoing,3: Entertainment,"http://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=11&cad=rja&ved=0CDMQFjAAOAo&url=http%3A%2F%2Fwww.techpowerup.com%2F9726%2FResident-Evil-4-Onimusha-3-and-Devil-May-Cry-3-coming-to-the-PC.html&ei=nFLtUIibAoadtAaTuIHIBw&usg=AFQjCNH80IumLLMwKJqHLsPbphq1kcvdYw&sig2=NPrKJVGFadyQt4FAfwmqNg&bvm=bv.1357316858,d.Yms",,,,,,
ribs and soul festival detroit 2006,AOL_expl,20060805-20060806,3: Future event (after 31/05/2006),,,3: Anticipated,7: Holiday,,,,,,,
rick sutcliffe,MSN_impl,20060510,2: Recency event (b/w 01/05/2006 - 31/05/2006),Non-recurrent,Unplanned,2: Ongoing,6: Sports,,,,,,,
ritz carlton,MSN_impl,20060502,2: Recency event (b/w 01/05/2006 - 31/05/2006),Non-recurrent,Unplanned,1: Breaking,1: News,"http://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=1&cad=rja&ved=0CDYQFjAA&url=http%3A%2F%2Fen.wikipedia.org%2Fwiki%2FThe_Residences_at_The_Ritz-Carlton_(Philadelphia)&ei=dFDtUPjtK47dsgaFpYC4BQ&usg=AFQjCNGsv2-cTlWM5vdbmq5GJymf9-zasg&sig2=isUzyPACQ3oTqmPklsrB1Q&bvm=bv.1357316858,d.Yms",,,,,,
riverfest 2006,MSN_expl,20060729,3: Future event (after 31/05/2006),Recurrent,1-year,3: Anticipated,3: Entertainment,"http://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=5&cad=rja&ved=0CF4QFjAE&url=http%3A%2F%2Fconcertsgalore.net%2Ffile%2Flive-at-toms-river-festival-toms-river-nj-usa-on-jul-29-2006-concert-bootleg-download-223964.php&ei=K1DtUPrWFsmdtQah44CABQ&usg=AFQjCNFDJ1yh4NVz3nlVxFCrZDpcGfxSaQ&sig2=GiqdmMoxV9DVjnFTvu9F_g&bvm=bv.1357316858,d.Yms",,,,,,
rockfest 2006,MSN_expl,20060720-20060723,2: Recency event (b/w 01/05/2006 - 31/05/2006),Recurrent,1-year,3: Anticipated,3: Entertainment,,,,,,,
roger clemens,MSN_impl,20060531,2: Recency event (b/w 01/05/2006 - 31/05/2006),Non-recurrent,Unplanned,2: Ongoing,6: Sports,,,,,,,
rosa parks pardon,MSN_impl,20060330,2: Recency event (b/w 01/05/2006 - 31/05/2006),Non-recurrent,Unplanned,1: Breaking,1: News,http://www.nytimes.com/2006/03/31/us/31pardon.html?_r=0,,,,,,
russian orthodox easter 2006,AOL_expl,20060423,2: Recency event (b/w 01/03/2006 - 31/05/2006),Recurrent,1-year,3: Anticipated,7: Holiday,,,,,,,
ryder cup 2006,MSN_expl,20060922-20060924,3: Future event (after 31/05/2006),Recurrent,1-year,3: Anticipated,6: Sports,,,,,,,
san antonio,MSN_impl,20060501-20060531,2: Recency event (b/w 01/05/2006 - 31/05/2006),Recurrent,1-week,2: Ongoing,6: Sports,,,,,,,
san antonio spurs,MSN_impl,20060501-20060531,2: Recency event (b/w 01/05/2006 - 31/05/2006),Recurrent,1-week,2: Ongoing,6: Sports,,,,,,,
san antonio texas,MSN_impl,20060501-20060531,2: Recency event (b/w 01/05/2006 - 31/05/2006),Recurrent,1-week,2: Ongoing,6: Sports,,,,,,,
san diego padres,AOL_impl,20060301-20060531,2: Recency event (b/w 01/05/2006 - 31/05/2006),Non-recurrent,Unplanned,2: Ongoing,6: Sports,,,,,,,
sarah hughes,AOL_impl,20060223,2: Recency event (b/w 01/05/2006 - 31/05/2006),Non-recurrent,Unplanned,1: Breaking,6: Sports,http://articles.chicagotribune.com/keyword/sarah-hughes,,,,,,
saturn sky,MSN_impl,20060411,2: Recency event (b/w 01/05/2006 - 31/05/2006),Non-recurrent,Planned,1: Breaking,1: News,,,,,,,
saw 3,AOL_impl,20061026,3: Future event (after 31/05/2006),Non-recurrent,Planned,3: Anticipated,3: Entertainment,,,,,,,
scary movie 4,AOL_impl,20060412,2: Recency event (b/w 01/05/2006 - 31/05/2006),Non-recurrent,Planned,2: Ongoing,3: Entertainment,,,,,,,
sean paul,MSN_impl,20060512,2: Recency event (b/w 01/05/2006 - 31/05/2006),Non-recurrent,Planned,2: Ongoing,3: Entertainment,http://tunesbin.com/2012/12/27/sean-paul-the-trinity-itunes-plus-aac-m4a/,20060326-20060401,,"http://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=10&cad=rja&ved=0CHsQFjAJ&url=http%3A%2F%2Fwww.bobborst.com%2Fpopculture%2Fnumber-one-songs-by-year%2F%3Fy%3D2006&ei=xEftUOTuL4jwsga12YHIBw&usg=AFQjCNE43V_w_v96pllK-4SipkoqDvuQHA&sig2=_mqdgWMG5wEdr-OlxMfDLQ&bvm=bv.1357316858,d.Yms",,,
selena quintanilla,AOL_impl,20060615,3: Future event (after 31/05/2006),Non-recurrent,Unplanned,3: Anticipated,5: Celebrity,future event,"http://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=7&cad=rja&ved=0CEgQFjAG&url=http%3A%2F%2Fen.wikipedia.org%2Fwiki%2FSelena&ei=jHbtUMuWHIfZtAaExoCgDQ&usg=AFQjCNH_4x7QkAz9g_V8yFcVfQmkBdWAsQ&sig2=4Om6tTdhLwBPG9xqDMEyQQ&bvm=bv.1357316858,d.Yms",,,,,
september 11 2001,AOL_impl,20010911,1: Past event (before 01/05/2006),Non-recurrent,Unplanned,5: Commemorative,2: Fact,,,,,,,
september 11 videos,MSN_expl,20010911,1: Past event (before 01/05/2006),Non-recurrent,Unplanned,5: Commemorative,2: Fact,,,,,,,
september11 2001,MSN_expl,20010911,1: Past event (before 01/05/2006),Non-recurrent,Unplanned,5: Commemorative,2: Fact,,,,,,,
shark attacks swimmers in river,MSN_impl,20060318,2: Recency event (b/w 01/03/2006 - 31/05/2006),Non-recurrent,Unplanned,1: Breaking,1: News,Recency event,"http://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=4&cad=rja&ved=0CFgQFjAD&url=http%3A%2F%2Fsharkattackmonitor.blogspot.com%2F2006%2F03%2Finjured-18-march-2006-sigatoka-river.html&ei=S3ftUIPbM4XBswavqIHQDw&usg=AFQjCNGMz0_sS7Jq5wRyz4bfmBuOq-tTow&sig2=EhhU8LrFBfVVTyauav8FpA&bvm=bv.1357316858,d.Yms",,,,,
shrek 2,AOL_impl,20060518,2: Recency event (b/w 01/05/2006 - 31/05/2006),Non-recurrent,Planned,2: Ongoing,3: Entertainment,http://movies.wikia.com/wiki/Shrek_2,,,,,,
shuttle discovery,MSN_impl,20060704,3: Future event (after 31/05/2006),Non-recurrent,Planned,3: Anticipated,1: News,future event,,,,,,
silent hill the movie,AOL_impl,20060421,2: Recency event (b/w 01/05/2006 - 31/05/2006),Non-recurrent,Planned,2: Ongoing,3: Entertainment,,,,,,,
sims 2,AOL_impl,20060303,2: Recency event (b/w 01/05/2006 - 31/05/2006),Non-recurrent,Planned,4: Meme,3: Entertainment,,,,,,,
sims 2 celebs,AOL_impl,20060303,2: Recency event (b/w 01/05/2006 - 31/05/2006),Non-recurrent,Planned,4: Meme,3: Entertainment,,,,,,,
sims 2 cheats,AOL_impl,20060303,2: Recency event (b/w 01/05/2006 - 31/05/2006),Non-recurrent,Planned,4: Meme,3: Entertainment,,,,,,,
sipa annual meeting austin texas 2006,AOL_expl,20060411-20060413,2: Recency event (b/w 01/03/2006 - 31/05/2006),Recurrent,1-year,2: Ongoing,1: News,,,,,,,
sla conference 2006,MSN_expl,20060611-20060614,2: Recency event (b/w 01/05/2006 - 31/05/2006),Recurrent,1-year,2: Ongoing,1: News,,,,,,,
slipknot pictures,AOL_impl,20060208,2: Recency event (b/w 01/05/2006 - 31/05/2006),Non-recurrent,Unplanned,2: Ongoing,5: Celebrity,,,,,,,
smackdown vs raw 2006,MSN_expl,20051114,2: Recency event (b/w 01/05/2006 - 31/05/2006),Recurrent,1-year,4: Meme,6: Sports,Non-recurrent,,,,,,
small business man of the year award ceremony for 2006,AOL_expl,0,2: Recency event (b/w 01/03/2006 - 31/05/2006),Recurrent,1-year,2: Ongoing,1: News,,,,,,,
sniper trial,MSN_impl,20060523,2: Recency event (b/w 01/05/2006 - 31/05/2006),Non-recurrent,Unplanned,2: Ongoing,1: News,"http://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=5&cad=rja&ved=0CFkQFjAE&url=http%3A%2F%2Fwww.cnn.com%2F2006%2FLAW%2F05%2F23%2Fsniper.trial%2Findex.html&ei=ALvsUNuoMI3otQbOuoHYAw&usg=AFQjCNEYAvH0MOoiEVBEvxrMltvXKSJB3g&sig2=FqUSf6iZdr-WU8Mb1toi1g&bvm=bv.1357316858,d.Yms",,,,,,
soccer world cup 2006,MSN_expl,20060609-20060709,3: Future event (after 31/05/2006),Recurrent,4-year,3: Anticipated,6: Sports,,,,,,,
solar eclipse 2006,AOL_expl,20060329,2: Recency event (b/w 01/03/2006 - 31/05/2006),Non-recurrent,Unplanned,1: Breaking,1: News,,,,,,,
sonny montgomery,MSN_impl,20060512,2: Recency event (b/w 01/05/2006 - 31/05/2006),Non-recurrent,Unplanned,1: Breaking,8: Deaths,,,,,,,
soul calibur 2,AOL_impl,20060802,2: Recency event (b/w 01/05/2006 - 31/05/2006),Recurrent,Planned,3: Anticipated,3: Entertainment,future event,http://www.flickr.com/photos/libraryloft/sets/72157594225302520/,,,,,
spiderman 3,AOL_impl,20070416,3: Future event (after 31/05/2006),Non-recurrent,Planned,3: Anticipated,3: Entertainment,,,,,,,
spider-man 3,AOL_impl,20070416,3: Future event (after 31/05/2006),Non-recurrent,Planned,3: Anticipated,3: Entertainment,,,,,,,
spring and easter crafts,AOL_expl,20060416-20060423,2: Recency event (b/w 01/03/2006 - 31/05/2006),Recurrent,1-year,3: Anticipated,3: Entertainment,,,,,,,
spyware defense,AOL_impl,20060512,2: Recency event (b/w 01/05/2006 - 31/05/2006),Non-recurrent,Planned,2: Ongoing,1: News,,,,,,,
st. patrick's day 2006,AOL_expl,20060317,2: Recency event (b/w 01/03/2006 - 31/05/2006),Recurrent,1-year,2: Ongoing,7: Holiday,,,,,,,
star wars all lego sets,AOL_impl,20060526,2: Recency event (b/w 01/05/2006 - 31/05/2006),Non-recurrent,Planned,2: Ongoing,3: Entertainment,,,,,,,
star wars fx lightsaber,AOL_impl,20060526,2: Recency event (b/w 01/05/2006 - 31/05/2006),Non-recurrent,Planned,2: Ongoing,3: Entertainment,,,,,,,
star wars pictures,AOL_impl,20060526,2: Recency event (b/w 01/05/2006 - 31/05/2006),Non-recurrent,Planned,2: Ongoing,3: Entertainment,,,,,,,
star wars soundtrack,AOL_impl,20060526,2: Recency event (b/w 01/05/2006 - 31/05/2006),Non-recurrent,Planned,2: Ongoing,3: Entertainment,,,,,,,
star wars toy droid blaster,AOL_impl,20060526,2: Recency event (b/w 01/05/2006 - 31/05/2006),Non-recurrent,Planned,2: Ongoing,3: Entertainment,http://en.wikipedia.org/wiki/Star_Wars_Celebration,,,,,,
steelers 2006 schedule,AOL_expl,20060301-20060531,2: Recency event (b/w 01/03/2006 - 31/05/2006),Recurrent,1-year,2: Ongoing,6: Sports,"http://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=4&cad=rja&ved=0CF4QFjAD&url=http%3A%2F%2Fwww.newscientist.com%2Farticle%2Fdn9239-heart-may-be-home-to-its-own-stem-cells.html&ei=XHjtUOyxE8bJsga17IH4CQ&usg=AFQjCNEfo9BfAih06n5PIh0LQilBEVU0YA&sig2=cNJG-E91NlXtYyb_hToIwA&bvm=bv.1357316858,d.Yms",,,,,,
stem cell,AOL_impl,20060529,2: Recency event (b/w 01/05/2006 - 31/05/2006),,,2: Ongoing,1: News,,,,,,,
stock market crash of 1929,MSN_expl,19291024,1: Past event (before 01/05/2006),Non-recurrent,Unplanned,5: Commemorative,2: Fact,,,,,,,
sunfest 2006,AOL_expl,20060504-20060507,2: Recency event (b/w 01/03/2006 - 31/05/2006),Recurrent,1-year,2: Ongoing,3: Entertainment,,,,,,,
superman returns,AOL_impl,20060621,3: Future event (after 31/05/2006),Non-recurrent,Planned,3: Anticipated,3: Entertainment,,,,,,,
surfing contest june 2006,AOL_expl,20060610,3: Future event (after 31/05/2006),Recurrent,1-year,3: Anticipated,6: Sports,,,,,,,
survivor,MSN_impl,20060501-20060514,2: Recency event (b/w 01/05/2006 - 31/05/2006),Recurrent,1-week,2: Ongoing,3: Entertainment,,,,,,,
survivor 2006,MSN_expl,20060501-20060514,2: Recency event (b/w 01/05/2006 - 31/05/2006),Recurrent,1-week,2: Ongoing,3: Entertainment,,,,,,,
survivor panama,AOL_impl,20060301-20060514,2: Recency event (b/w 01/05/2006 - 31/05/2006),Recurrent,1-week,2: Ongoing,3: Entertainment,,,,,,,
survivor panama,MSN_impl,20060501-20060514,2: Recency event (b/w 01/05/2006 - 31/05/2006),Recurrent,1-week,2: Ongoing,3: Entertainment,,,,,,,
t.i. king,AOL_impl,20060328,2: Recency event (b/w 01/05/2006 - 31/05/2006),Non-recurrent,Planned,4: Meme,3: Entertainment,,,,,,,
talent 20show,AOL_impl,20060521,2: Recency event (b/w 01/05/2006 - 31/05/2006),Recurrent,1-week,2: Ongoing,3: Entertainment,Recency event,http://eztv.it/shows/11/americas-got-talent/,,,,,
taste of chicago 2006,MSN_expl,20060630-20060709,3: Future event (after 31/05/2006),Non-recurrent,Planned,3: Anticipated,7: Holiday,,,,,,,
teacher appreciation,AOL_impl,20060507-20060513,2: Recency event (b/w 01/05/2006 - 31/05/2006),Recurrent,1-year,2: Ongoing,7: Holiday,,,,,,,
teacher appreciation week,AOL_impl,20060507-20060513,2: Recency event (b/w 01/05/2006 - 31/05/2006),Recurrent,1-year,2: Ongoing,7: Holiday,,,,,,,
teacher poems,AOL_impl,20060507-20060513,2: Recency event (b/w 01/05/2006 - 31/05/2006),Recurrent,1-year,2: Ongoing,7: Holiday,,,,,,,
tennessee beer,MSN_impl,20060424,2: Recency event (b/w 01/05/2006 - 31/05/2006),Non-recurrent,Planned,1: Breaking,1: News,,,,,,,
thanksgiving 2006,MSN_expl,20061123,3: Future event (after 31/05/2006),Recurrent,1-year,3: Anticipated,7: Holiday,,,,,,,
that 70's show,MSN_impl,20060316-20060518,2: Recency event (b/w 01/05/2006 - 31/05/2006),Recurrent,1-week,2: Ongoing,3: Entertainment,,,,,,,
the da vinci code,AOL_impl,20060517,2: Recency event (b/w 01/05/2006 - 31/05/2006),Non-recurrent,Planned,2: Ongoing,3: Entertainment,,,,,,,
the davinci code,AOL_impl,20060517,2: Recency event (b/w 01/05/2006 - 31/05/2006),Non-recurrent,Planned,2: Ongoing,3: Entertainment,,,,,,,
the simpsons live action,AOL_impl,20060304,2: Recency event (b/w 01/05/2006 - 31/05/2006),Non-recurrent,Planned,2: Ongoing,3: Entertainment,,,,,,,
thin lizzy tour 2006,AOL_expl,20060402,2: Recency event (b/w 01/03/2006 - 31/05/2006),Non-recurrent,Planned,2: Ongoing,3: Entertainment,,,,,,,
three rounds of 2006 nfl mock draft,AOL_expl,20060429-20060430,2: Recency event (b/w 01/03/2006 - 31/05/2006),Recurrent,1-year,2: Ongoing,6: Sports,,,,,,,
todd buchholz may 2006,AOL_expl,20060510,2: Recency event (b/w 01/03/2006 - 31/05/2006),Non-recurrent,Planned,1: Breaking,4: Politics,"http://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=44&cad=rja&ved=0CEkQFjADOCg&url=http%3A%2F%2Fwww.ci.oshkosh.wi.us%2FLandmarks_Commission%2FMeetings%2FMinutes%2FLandmarks_Minutes_05-10-06.pdf&ei=cbDsUP75Os_Oswah3ICoDQ&usg=AFQjCNFnInswwRatV9oJ8MqgVDbjBem6Jg&sig2=RpKhgwly2MOEjE6R-ehsnQ&bvm=bv.1357316858,d.Yms",,,,,,
tony blair,MSN_impl,20060504,2: Recency event (b/w 01/05/2006 - 31/05/2006),Non-recurrent,Unplanned,1: Breaking,4: Politics,,,,,,,
top prospects texas for pro baseball draft 2006,AOL_expl,20060606-20060607,2: Recency event (b/w 01/03/2006 - 31/05/2006),Recurrent,1-year,2: Ongoing,6: Sports,,,,,,,
tori spelling,MSN_impl,20060507,2: Recency event (b/w 01/05/2006 - 31/05/2006),Non-recurrent,Planned,2: Ongoing,5: Celebrity,"http://www.astro.com/astro-databank/Spelling,_Tori",,,,,,
torino 2006 game cheats,AOL_expl,20060124,1: Past event (before 01/03/2006),Recurrent,4-year,4: Meme,3: Entertainment,,,,,,,
toronto news may 26 alcohol brian killed driver,AOL_expl,20060526,2: Recency event (b/w 01/03/2006 - 31/05/2006),Non-recurrent,Unplanned,1: Breaking,1: News,,,,,,,
tour de france 2006,MSN_expl,20060701-20060723,3: Future event (after 31/05/2006),Recurrent,1-year,3: Anticipated,6: Sports,,,,,,,
tribeca film festival,MSN_impl,20060425-20060507,3: Future event (after 31/05/2006),Recurrent,1-year,3: Anticipated,3: Entertainment,,,,,,,
tribute to mothers for mother's day 2006,AOL_expl,20060514,2: Recency event (b/w 01/03/2006 - 31/05/2006),Recurrent,1-year,2: Ongoing,7: Holiday,,,,,,,
troy pa. fair 2006,AOL_expl,20060727,2: Recency event (b/w 01/03/2006 - 31/05/2006),Recurrent,1-year,3: Anticipated,3: Entertainment,,,,,,,
typhoon chanchu,MSN_impl,20060509-20060519,2: Recency event (b/w 01/05/2006 - 31/05/2006),Non-recurrent,Unplanned,1: Breaking,1: News,,,,,,,
u2 concerts in 2006,AOL_expl,20060315,2: Recency event (b/w 01/03/2006 - 31/05/2006),Non-recurrent,Planned,2: Ongoing,3: Entertainment,,,,,,,
ufc march 4 2006,AOL_expl,20060304,2: Recency event (b/w 01/03/2006 - 31/05/2006),Recurrent,1-month,2: Ongoing,6: Sports,,,,,,,
unholy alliance tour 2006,AOL_expl,20060305,2: Recency event (b/w 01/03/2006 - 31/05/2006),Non-recurrent,Planned,2: Ongoing,6: Sports,,,,,,,
us open,MSN_impl,20060828-20060930,3: Future event (after 31/05/2006),Recurrent,1-year,3: Anticipated,6: Sports,,,,,,,
us open 2006,MSN_expl,20060828-20060930,3: Future event (after 31/05/2006),Recurrent,1-year,3: Anticipated,6: Sports,,,,,,,
vampire manga,AOL_impl,20060411,2: Recency event (b/w 01/05/2006 - 31/05/2006),Non-recurrent,Planned,4: Meme,3: Entertainment,,,,,,,
van gogh portrait,MSN_impl,20060503,2: Recency event (b/w 01/05/2006 - 31/05/2006),Non-recurrent,Unplanned,4: Meme,1: News,"http://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=5&cad=rja&ved=0CFMQFjAE&url=http%3A%2F%2Fwww.artnewsblog.com%2F2006%2F05%2Fvan-gogh-painting-sells-for-40-million.htm&ei=_6nsULG9HdDTsgaWk4FQ&usg=AFQjCNF45S4RlR1HoFXUJtewgYJdtz5nSA&sig2=XzI16sKeh0F04uGP3i8L8A&bvm=bv.1357316858,d.Yms",,,,,,
volcano,MSN_impl,20060523,2: Recency event (b/w 01/05/2006 - 31/05/2006),Non-recurrent,Unplanned,2: Ongoing,1: News,,,,,,,
volcanoes,MSN_impl,20060523,2: Recency event (b/w 01/05/2006 - 31/05/2006),Non-recurrent,Unplanned,2: Ongoing,1: News,2: Recency event (b/w 01/05/2006 - 31/05/2006),http://twistedsifter.com/2011/06/most-incredible-photographs-of-volcanic-eruptions/,,,,,
war of 1812,AOL_impl,18120618-18150218,1: Past event (before 01/05/2006),Non-recurrent,Unplanned,5: Commemorative,2: Fact,,,,,,,
warp tour 2006,AOL_expl,20060616-20060814,2: Recency event (b/w 01/03/2006 - 31/05/2006),Non-recurrent,Planned,3: Anticipated,6: Sports,,,,,,,
warp tour 2006,MSN_expl,20060616-20060814,2: Recency event (b/w 01/05/2006 - 31/05/2006),Non-recurrent,Planned,3: Anticipated,6: Sports,,,,,,,
warped tour 2006,AOL_expl,20060616-20060814,2: Recency event (b/w 01/03/2006 - 31/05/2006),Non-recurrent,Planned,3: Anticipated,6: Sports,,,,,,,
warped tour 2006,MSN_expl,20060616-20060814,2: Recency event (b/w 01/05/2006 - 31/05/2006),Non-recurrent,Planned,3: Anticipated,6: Sports,,,,,,,
washington dc law seminar march 2006,AOL_expl,20060309,2: Recency event (b/w 01/03/2006 - 31/05/2006),Recurrent,1-year,2: Ongoing,1: News,http://www.grzecalaw.com/index.cfm?id=7,,,,,,
watch kentucky derby 2006,AOL_expl,20060501,2: Recency event (b/w 01/03/2006 - 31/05/2006),Recurrent,1-year,2: Ongoing,6: Sports,,,,,,,
west virginia state fair 2006,AOL_expl,20060811-20060820,3: Future event (after 31/05/2006),Recurrent,1-year,3: Anticipated,3: Entertainment,,,,,,,
what is may day?,MSN_expl,20060501,2: Recency event (b/w 01/05/2006 - 31/05/2006),Recurrent,1-year,2: Ongoing,7: Holiday,,,,,,,
when is memorial day 2006?,MSN_expl,20060529,2: Recency event (b/w 01/05/2006 - 31/05/2006),Recurrent,1-year,2: Ongoing,7: Holiday,,,,,,,
when is mothers day 2006?,MSN_expl,20060514,2: Recency event (b/w 01/05/2006 - 31/05/2006),Recurrent,1-year,2: Ongoing,7: Holiday,,,,,,,
when is mother's day 2006?,MSN_expl,20060514,2: Recency event (b/w 01/05/2006 - 31/05/2006),Recurrent,1-year,2: Ongoing,7: Holiday,,,,,,,
white house correspondents dinner 2006,MSN_expl,20060501,2: Recency event (b/w 01/05/2006 - 31/05/2006),Non-recurrent,Planned,1: Breaking,1: News,"http://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=6&cad=rja&ved=0CF8QFjAF&url=http%3A%2F%2Fmediamatters.org%2Fresearch%2F2006%2F05%2F01%2Fmedia-touted-bushs-routine-at-correspondents-di%2F135541&ei=aHrtUKqnBILYtAay9oHAAQ&usg=AFQjCNHyo06NYYhq8oIc1x7gOWxzQt0Eiw&sig2=y2J20sk_9zXYhHsF1m1A8w&bvm=bv.1357316858,d.Yms",,,,,,
who won american idol,MSN_impl,20060524,2: Recency event (b/w 01/05/2006 - 31/05/2006),Non-recurrent,Planned,1: Breaking,3: Entertainment,,,,,,,
who won the 2006 kentucky derby?,MSN_expl,20060501,2: Recency event (b/w 01/05/2006 - 31/05/2006),Recurrent,1-year,2: Ongoing,6: Sports,,,,,,,
will & grace,MSN_impl,20060501-20060518,2: Recency event (b/w 01/05/2006 - 31/05/2006),Recurrent,1-week,2: Ongoing,3: Entertainment,,,,,,,
will and grace,MSN_impl,20060501-20060518,2: Recency event (b/w 01/05/2006 - 31/05/2006),Recurrent,1-week,2: Ongoing,3: Entertainment,,,,,,,
william jefferson,MSN_impl,20060520,2: Recency event (b/w 01/05/2006 - 31/05/2006),Non-recurrent,Unplanned,2: Ongoing,4: Politics,,,,,,,
windows live,MSN_impl,20060411,2: Recency event (b/w 01/05/2006 - 31/05/2006),Non-recurrent,Planned,1: Breaking,1: News,"http://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=2&cad=rja&ved=0CD4QFjAB&url=http%3A%2F%2Fen.wikipedia.org%2Fwiki%2FLive_Search_Academic&ei=rnntULSEG87DtAaVjoGwCg&usg=AFQjCNFigULAGWqJQQrILyWqNCM0pFrIig&sig2=7hJD9DWDlPYE45ulGycO5Q&bvm=bv.1357316858,d.Yms",,,,,,
wmc 2006,AOL_expl,20060321-20060323,2: Recency event (b/w 01/03/2006 - 31/05/2006),Recurrent,1-year,2: Ongoing,3: Entertainment,,,,,,,
world cup,AOL_impl,20060609-20060709,3: Future event (after 31/05/2006),Recurrent,4-year,3: Anticipated,6: Sports,,,,,,,
world cup,MSN_impl,20060609-20060709,3: Future event (after 31/05/2006),Recurrent,4-year,3: Anticipated,6: Sports,,,,,,,
